Agent ID,X,Y,Z
0,39,8,5
1,36,11,5
2,36,10,5
3,33,14,6
4,35,18,7
5,30,18,18
6,35,18,8
7,29,18,23
8,28,18,18
9,28,18,22
10,29,18,18
11,30,17,21
12,27,19,21
13,28,19,20
14,28,19,21
15,26,18,21
16,26,17,21
17,26,18,22
18,26,17,22
19,27,18,21
20,26,18,20
21,31,19,9
22,31,19,8
23,28,17,23
24,35,18,12
25,30,18,16
26,32,18,9
27,32,18,10
28,33,18,10
29,33,18,9
30,35,18,5
31,34,18,7
32,36,18,5
33,34,18,5
34,28,18,0
35,28,19,16
36,38,18,0
37,32,18,0
38,35,18,6
39,16,18,7
40,31,19,21
41,33,18,20
42,26,16,20
43,27,20,19
44,30,18,20
45,15,18,6
46,23,18,0
47,26,19,0
48,33,18,0
49,35,19,5
50,18,19,0
